query_id,query_term,uid,pmcid,pmid,doi,year,pubdate,title,journal_abbrev,journal_full,first_author,pmclivedate,pmc_url,ncbi_pmc_url,pdf_url,ncbi_total_count
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12726123,PMC12726123,41434747,10.1002/alz70860_100248,2025,2025 Dec 23,Incidence of Creutzfeldt‐Jakob Disease in a Tertiary Care Referral Center in Mexico City,Alzheimers Dement,Alzheimer's & Dementia,Hernandez IM,2025/12/24,https://pmc.ncbi.nlm.nih.gov/articles/PMC12726123/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12726123/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12726123/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12723170,PMC12723170,41445985,10.7759/cureus.99889,2025,2025 Dec 22,Progressive Supranuclear Palsy With Post-traumatic Frontal Lobe Damage Mimicking Anti-IgLON5 Antibody Disease,Cureus,Cureus,Ates Gulkok D,2025/12/24,https://pmc.ncbi.nlm.nih.gov/articles/PMC12723170/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12723170/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12723170/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12742072,PMC12742072,41448702,10.1136/bmjopen-2025-108735,2025,2025 Dec 24,Pittsburgh Brain Health Initiative (BHI): protocol and methods for an observational study of cognitive function in former professional football players and controls,BMJ Open,BMJ Open,Okonkwo DO,2025/12/27,https://pmc.ncbi.nlm.nih.gov/articles/PMC12742072/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12742072/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12742072/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12741441,PMC12741441,0,10.1093/omcr/omaf270,2025,2025 Dec 26,Paraneoplastic progressive Supranuclear palsy: a case report and literature review,Oxf Med Case Reports,Oxford Medical Case Reports,Simma K,2025/12/27,https://pmc.ncbi.nlm.nih.gov/articles/PMC12741441/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12741441/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12741441/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12741020,PMC12741020,41449485,10.1002/alz70857_104327,2025,2025 Dec 25,Very Early‐Onset Behavioral Variant Frontotemporal Dementia: A Case Report,Alzheimers Dement,Alzheimer's & Dementia,Perez V,2025/12/27,https://pmc.ncbi.nlm.nih.gov/articles/PMC12741020/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12741020/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12741020/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12740746,PMC12740746,0,10.3389/fneur.2025.1634902,2025,2025 Dec 12,Relationship between intrahemispheric and interhemispheric connectivity of the language network and language improvement in subacute post-stroke aphasia,Front Neurol,Frontiers in Neurology,Xie X,2025/12/27,https://pmc.ncbi.nlm.nih.gov/articles/PMC12740746/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12740746/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12740746/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12739254,PMC12739254,41445266,10.1002/alz70857_100313,2025,2025 Dec 24,Characterizing neurolinguistic patterns of primary progressive aphasia and Alzheimer's disease in Arabic‐speaking patients: Case series,Alzheimers Dement,Alzheimer's & Dementia,Taiebine M,2025/12/26,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739254/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12739254/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12739254/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12738248,PMC12738248,41444140,10.1002/alz70855_106144,2025,2025 Dec 24,Visuospatial cognitive deficits in a mixed ALS/FTLD‐TDP Types A+B: A Case Report,Alzheimers Dement,Alzheimer's & Dementia,Katragadda HV,2025/12/26,https://pmc.ncbi.nlm.nih.gov/articles/PMC12738248/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12738248/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12738248/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12736033,PMC12736033,0,10.3390/ph18121805,2025,2025 Nov 26,"Nerve Growth Factor in Diabetes Mellitus: Pathophysiological Mechanisms, Biomarkers and Therapeutic Opportunities",Pharmaceuticals (Basel),Pharmaceuticals,Massimino M,2025/12/25,https://pmc.ncbi.nlm.nih.gov/articles/PMC12736033/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12736033/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12736033/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12730515,PMC12730515,0,10.3390/biomedicines13122884,2025,2025 Nov 26,Unlocking the Sugar Code: Implications and Consequences of Glycosylation in Alzheimer’s Disease and Other Tauopathies,Biomedicines,Biomedicines,Bondar AC,2025/12/25,https://pmc.ncbi.nlm.nih.gov/articles/PMC12730515/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12730515/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12730515/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12728188,PMC12728188,41309536,10.1038/s41398-025-03777-7,2025,2025 Nov 27,The evolving etiologies of rapidly progressive dementia: a systematic review,Transl Psychiatry,Translational Psychiatry,Lei MH,2025/12/25,https://pmc.ncbi.nlm.nih.gov/articles/PMC12728188/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12728188/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12728188/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12723618,PMC12723618,41445987,10.7759/cureus.99908,2025,2025 Dec 23,Posterior Cortical Atrophy Masked by a Pituitary Macroadenoma: Diagnostic Challenges in the Setting of Dual Visual Pathology,Cureus,Cureus,Bloomfield AS,2025/12/24,https://pmc.ncbi.nlm.nih.gov/articles/PMC12723618/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12723618/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12723618/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12723357,PMC12723357,41217122,10.2196/77661,2025,2025 Dec 8,Real-World Efficacy and Safety of Zishenyizhi Pill for Cognitive Impairment Associated With Cerebral Small Vessel Disease: Protocol for a Multicenter Prospective Observational Study,JMIR Res Protoc,JMIR Research Protocols,Sun X,2025/12/24,https://pmc.ncbi.nlm.nih.gov/articles/PMC12723357/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12723357/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12723357/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12722954,PMC12722954,41446889,10.3389/fneur.2025.1634177,2025,2025 Dec 8,The Paper-Toss Test: enhancing bedside recognition of corticobasal syndrome,Front Neurol,Frontiers in Neurology,Lueg G,2025/12/24,https://pmc.ncbi.nlm.nih.gov/articles/PMC12722954/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12722954/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12722954/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12716591,PMC12716591,41419288,10.1136/bmjopen-2025-106745,2025,2025 Dec 19,"The MenoStim Trial: Study Protocol for a Randomised, Sham-Controlled, Double-Blinded, Pilot Clinical Trial Exploring the Neurophysiological, Cognitive, Mood and Biochemical Effects Associated with Non-Invasive Brain Stimulation During the Menopause Transition",BMJ Open,BMJ Open,Metri NJ,2025/12/20,https://pmc.ncbi.nlm.nih.gov/articles/PMC12716591/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12716591/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12716591/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12716242,PMC12716242,41426499,10.5334/tohm.1119,2025,2025 Dec 17,A Case Report of Abdominal Myoclonus Following Anterior Cerebral Artery Stroke,Tremor Other Hyperkinet Mov (N Y),Tremor and Other Hyperkinetic Movements,Nokhrina K,2025/12/20,https://pmc.ncbi.nlm.nih.gov/articles/PMC12716242/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12716242/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12716242/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12715365,PMC12715365,40696839,10.1002/mdc3.70256,2025,2025 Jul 22,Progressive Supranuclear Palsy and Normal Pressure Hydrocephalus: Can Neuroimaging Solve this Mysterious Diagnostic Overlap?,Mov Disord Clin Pract,Movement Disorders Clinical Practice,Alotaibi S,2025/12/20,https://pmc.ncbi.nlm.nih.gov/articles/PMC12715365/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12715365/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12715365/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12715352,PMC12715352,40641225,10.1002/mdc3.70228,2025,2025 Jul 10,Investigation of the Determinants of Disease Severity in Patients with Idiopathic Normal Pressure Hydrocephalus,Mov Disord Clin Pract,Movement Disorders Clinical Practice,Onder H,2025/12/20,https://pmc.ncbi.nlm.nih.gov/articles/PMC12715352/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12715352/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12715352/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12715328,PMC12715328,40579942,10.1002/mdc3.70197,2025,2025 Jun 28,Discontinuation of the Clozapine Risk Evaluation and Mitigation Strategy and Implications in Movement Disorders,Mov Disord Clin Pract,Movement Disorders Clinical Practice,Palmer C,2025/12/20,https://pmc.ncbi.nlm.nih.gov/articles/PMC12715328/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12715328/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12715328/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12710431,PMC12710431,41405378,10.1002/brb3.70971,2025,2025 Dec 17,Prodromal Sleep Disturbances and Polysomnographic Findings in Patients With Creutzfeldt–Jakob Disease,Brain Behav,Brain and Behavior,Demirel E,2025/12/18,https://pmc.ncbi.nlm.nih.gov/articles/PMC12710431/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12710431/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12710431/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12708970,PMC12708970,41416261,10.7759/cureus.97003,2025,2025 Nov 16,Progressive Cerebral Atrophy and Cognitive Decline Without Cerebral Lesion in Neuromyelitis Optica Spectrum Disorder: A Case Report,Cureus,Cureus,Fujikawa S,2025/12/18,https://pmc.ncbi.nlm.nih.gov/articles/PMC12708970/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12708970/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12708970/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12706624,PMC12706624,41400007,10.1002/alz.70960,2025,2025 Dec 16,Thyroid function and cognitive health: rethinking the relationship between “suboptimal” TSH/FT4 levels and cognitive decline,Alzheimers Dement,Alzheimer's & Dementia,Dori D,2025/12/17,https://pmc.ncbi.nlm.nih.gov/articles/PMC12706624/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12706624/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12706624/pdf/,5356
ftld_case_reports_oa_v1,"((""frontotemporal dementia"" OR ""frontotemporal lobar degeneration"" OR ""primary progressive aphasia"" OR bvftd OR svppa OR nfvppa OR lvppa OR ""progressive supranuclear palsy"" OR ""corticobasal syndrome"" OR ""corticobasal degeneration"" OR ""ftd-mnd"") AND (""case report"" OR ""case series"" OR ""case presentation"")) AND open access[filter]",12706124,PMC12706124,41399191,10.1002/alz.70993,2025,2025 Dec 15,Cerebral metabolic covariance in delirium: pattern response to symptomatic changes,Alzheimers Dement,Alzheimer's & Dementia,Colloby SJ,2025/12/17,https://pmc.ncbi.nlm.nih.gov/articles/PMC12706124/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12706124/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12706124/pdf/,5356
